Hierarchy,Requirement Type,DNG ID,ZEP ID,Name,Primary Text,Component Allocation
1,MKT,199109,ZEP001,Architecture Layer Interface,The system shall provide a well-defined interface for communicating with the architecture layer,Architecture Interface
1.1,SYS,199362,ZEP002,Multiprocessing Management Facility Architecture Layer,On supporting architectures the kernel architecture layer shall support multiprocessing management facilities,Architecture Interface
1.1.1,SSR,199869,ZEP003,Return a pointer to current CPU record,The kernel architecture layer shall provide a mechanism to return a pointer to the current kernel CPU record of the running CPU,Architecture Interface
1.1.2,SSR,199868,ZEP004,Interprocessor interrupt to all other CPUs,The kernel architecture layer shall provide a mechanism to issue an interprocessor interrupt to all other CPUs in the system that calls the scheduler IPI handler,Architecture Interface
1.1.3,SSR,199867,ZEP005,Start non-boot CPUs on SMP,The kernel architecture layer shall provide a means to start non-boot CPUs on SMP systems,Architecture Interface
1.2,SYS,199361,ZEP006,Hardware Interrupt Access,The kernel architecture layer shall expose means for the kernel to access hardware interrupts ,Architecture Interface
1.2.1,SSR,199865,ZEP007,Attaching a specific C function to named interrupt,The kernel architecture layer shall provide the ability to attach a specific C function to a specific named interrupt at run time,Architecture Interface
1.2.2,SSR,199861,ZEP008,Mechanism to restore local interrupt state,The kernel architecture layer shall provide a mechanism to restore the local interrupt state saved prior to a mask operation.,Architecture Interface
1.2.3,SSR,199863,ZEP009,Mechanism to determine code execution in interrupt handler,The kernel architecture layer shall provide a mechanism to determine whether the current code is executing in an interrupt handler,Architecture Interface
1.2.4,SSR,199862,ZEP010,Mechanism to disable and enable numeric interrupts,The kernel architecture layer shall provide a mechanism to selectively disable and enable specific numeric interrupts.,Architecture Interface
1.2.5,SSR,199860,ZEP011,Mechanism to mask all local CPU interrupts,The kernel architecture layer shall provide a mechanism to simultenously mask all local CPU interrupts and return the previous mask state for restoration,Architecture Interface
1.2.6,SSR,199866,ZEP012,Raise an interrupt from thread code,The kernel architecture layer shall provide a means to raise an interrupt from thread code that will run a user-provided C function under the interrupt context ,Architecture Interface
1.2.7,SSR,199864,ZEP013,Attach a C function to interrupt at build,The kernel architecture layer shall provide the ability to attach a specific C function to a specific named interrupt at build time,Architecture Interface
